mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.31,0.48,0.01,0.45,1573.85,487.41,1782.97,1628.01,1670.14,1622.82,3.29,628.62,353.81,1155.28,38.14,0.32,90.88,23.69,37.67
0.29,0.47,0.00,0.40,1790.87,459.27,2096.81,1888.40,1998.05,1781.36,2.72,767.89,223.59,1196.57,44.44,0.27,116.06,27.59,33.85
0.28,0.44,0.00,0.38,1911.75,582.09,2069.81,2023.12,1936.80,2145.79,3.90,637.54,273.88,1391.74,50.09,0.41,132.74,31.00,36.22
0.27,0.47,0.00,0.34,1957.23,797.22,2615.23,1875.12,2018.61,1756.81,3.33,1124.82,348.36,908.74,49.38,0.34,96.53,54.94,45.69
0.29,0.50,0.00,0.37,1363.93,415.16,1581.29,1497.40,1293.88,1415.18,2.94,788.40,180.01,821.56,32.02,0.28,77.44,26.21,24.13
0.30,0.49,0.01,0.40,1705.56,432.35,2031.59,1885.86,1793.46,1612.83,3.25,810.74,225.72,1136.34,40.62,0.31,104.02,26.51,31.64
0.28,0.48,0.00,0.35,1566.10,479.81,1916.10,1660.51,1481.63,1498.88,2.91,896.34,203.08,997.13,38.10,0.28,87.94,34.22,29.97
0.30,0.48,0.00,0.41,1550.93,368.91,1794.25,1487.73,1822.21,1761.87,3.26,585.84,210.22,1058.39,37.99,0.32,103.57,20.65,27.41
0.27,0.49,0.01,0.31,1585.21,539.14,2238.09,1638.37,1365.32,1408.52,2.71,815.25,415.92,642.65,38.62,0.26,69.88,44.30,40.02
0.30,0.44,0.00,0.47,1716.44,558.52,1847.87,1863.58,1658.31,1843.54,4.49,584.28,390.93,1439.61,44.13,0.46,113.13,24.47,38.47
0.26,0.46,0.01,0.32,1659.90,717.57,2161.08,1714.44,1596.98,1648.98,3.33,971.39,279.67,761.39,42.06,0.35,82.72,49.78,35.40
0.32,0.48,0.01,0.47,1614.32,419.94,1745.02,1863.52,1822.92,1485.64,3.00,546.99,309.61,1333.36,39.65,0.30,105.59,19.87,32.84
0.30,0.47,0.01,0.43,1627.75,558.75,1695.98,1801.57,1761.96,1775.27,3.69,776.74,380.36,958.35,40.35,0.37,94.00,25.73,41.30
0.32,0.48,0.00,0.46,1912.76,577.88,2110.01,1962.58,2095.50,2104.29,3.16,632.67,418.40,1562.76,47.20,0.31,116.96,26.15,45.40
0.27,0.44,0.00,0.39,1905.04,540.22,2302.43,1986.46,2068.81,1879.06,3.37,621.75,307.67,1341.77,50.60,0.36,140.18,27.72,34.14
0.27,0.45,0.00,0.37,1975.49,697.35,2352.73,2027.28,1919.48,2064.20,3.52,907.27,322.77,1263.41,50.70,0.36,127.00,39.88,35.55
0.28,0.45,0.00,0.39,1678.21,568.67,1795.19,1764.28,1889.05,1884.00,3.19,675.12,428.97,965.37,43.46,0.33,92.83,31.24,49.43
0.30,0.49,0.00,0.40,1661.33,541.26,1915.07,1869.21,1761.51,1624.93,2.92,899.50,402.26,927.41,39.90,0.28,87.02,28.93,43.35
0.31,0.45,0.00,0.47,1931.10,500.28,2090.52,2000.58,2139.33,2325.98,3.45,637.41,421.50,1642.22,49.36,0.36,128.55,26.01,42.52
0.29,0.48,0.00,0.38,1467.29,444.10,1804.69,1611.38,1400.72,1385.80,2.77,615.23,217.08,940.95,36.05,0.27,93.15,26.42,24.36
0.27,0.47,0.00,0.35,1441.78,467.59,1806.36,1509.65,1382.61,1417.25,3.48,715.81,210.31,794.45,35.45,0.34,88.08,28.74,24.62
0.28,0.45,0.00,0.38,2092.45,595.20,2424.11,2169.60,2409.64,2152.67,3.96,977.38,265.32,1525.66,53.45,0.41,136.89,36.47,40.02
0.30,0.48,0.00,0.43,1438.21,437.83,1579.03,1499.21,1549.20,1550.48,3.19,661.99,312.86,1199.59,36.18,0.32,91.99,21.48,30.95
0.29,0.45,0.00,0.41,1815.61,355.23,2049.27,1955.35,1942.36,1947.22,3.31,601.55,237.92,1342.60,45.97,0.34,125.63,24.10,33.81
0.31,0.51,0.01,0.40,956.09,309.70,1099.16,1009.04,1060.03,946.24,2.79,522.02,222.92,602.21,22.13,0.26,50.30,16.54,21.42
0.30,0.44,0.00,0.46,1767.80,517.36,1851.39,1942.44,1857.00,2037.45,3.13,584.47,351.59,1543.41,46.06,0.33,118.93,22.67,42.33
0.32,0.49,0.00,0.45,1647.78,608.66,1894.98,1637.05,1807.19,1783.95,2.99,736.93,376.96,1024.13,39.39,0.29,93.38,24.61,39.27
0.23,0.42,0.01,0.27,2051.71,1200.10,2535.71,2210.61,1808.49,1877.07,4.38,1055.91,633.60,865.92,55.59,0.47,98.41,68.99,54.48
0.30,0.47,0.01,0.41,1664.56,325.40,2050.83,1745.37,1751.73,1748.57,3.32,689.09,266.96,1207.95,40.87,0.33,109.05,24.04,30.08
0.24,0.44,0.00,0.28,1835.05,966.97,2260.14,1678.20,2233.16,1688.92,3.54,990.77,568.52,681.65,47.80,0.37,92.33,48.51,50.00
0.28,0.47,0.01,0.37,1356.70,385.43,1630.43,1356.07,1296.71,1523.23,2.90,539.49,231.09,949.14,32.94,0.28,82.21,24.48,24.81
0.29,0.49,0.01,0.37,1550.22,553.44,1751.11,1694.09,1584.25,1548.55,3.30,768.30,411.96,653.50,37.55,0.32,73.97,30.82,45.09
0.27,0.46,0.00,0.35,1813.31,613.38,2214.54,1897.65,1858.40,1813.33,3.37,1039.39,242.21,1127.55,45.83,0.34,106.18,40.29,36.52
0.26,0.48,0.01,0.30,1700.66,1082.20,2182.95,1664.17,1629.63,1468.89,2.90,881.38,507.53,623.20,42.29,0.29,77.08,48.45,43.35
0.26,0.47,0.00,0.30,1479.22,574.40,2003.76,1511.02,1309.50,1449.14,3.79,853.48,385.78,729.72,36.63,0.38,71.85,39.58,34.73
