mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.56,0.49,0.61,0.59,3.69,3.96,3.41,3.77,4.12,3.44,2.96,0.28,0.42,0.17,0.09,0.29,0.02,0.04,0.01
0.53,0.44,0.59,0.56,4.47,4.45,4.39,4.21,5.95,3.87,3.80,0.15,0.45,0.18,0.12,0.40,0.01,0.05,0.01
0.55,0.47,0.60,0.58,3.39,3.00,3.49,3.22,3.55,3.62,2.69,0.30,0.37,0.16,0.09,0.27,0.03,0.04,0.01
0.57,0.48,0.63,0.60,3.62,4.14,2.97,3.54,4.12,3.96,3.08,0.18,0.29,0.20,0.09,0.29,0.02,0.03,0.01
0.55,0.46,0.61,0.57,4.86,6.79,4.45,5.03,5.22,4.09,4.02,0.28,0.50,0.20,0.12,0.40,0.03,0.05,0.01
0.56,0.48,0.62,0.58,3.20,3.34,3.28,3.58,2.95,2.64,2.48,0.30,0.35,0.24,0.08,0.25,0.03,0.03,0.01
0.52,0.44,0.56,0.56,4.18,5.36,4.40,4.14,4.55,3.13,3.39,0.28,0.46,0.20,0.11,0.36,0.03,0.05,0.01
0.55,0.48,0.60,0.58,3.91,2.63,4.26,4.03,3.78,4.12,3.03,0.37,0.43,0.29,0.10,0.30,0.03,0.04,0.01
0.57,0.49,0.61,0.60,3.80,4.36,3.92,3.32,3.22,4.38,3.16,0.23,0.32,0.26,0.09,0.30,0.02,0.03,0.01
0.55,0.46,0.61,0.58,3.43,4.13,3.71,2.86,2.85,4.07,2.96,0.09,0.35,0.08,0.09,0.30,0.01,0.04,0.00
0.56,0.48,0.60,0.58,3.50,2.79,3.72,3.41,4.72,2.78,2.49,0.38,0.47,0.45,0.09,0.24,0.03,0.05,0.02
0.56,0.48,0.60,0.59,3.46,2.94,3.75,3.43,3.08,3.62,2.82,0.13,0.44,0.21,0.08,0.27,0.01,0.04,0.01
0.53,0.45,0.59,0.56,4.15,3.22,3.56,4.15,5.58,4.31,3.44,0.27,0.36,0.26,0.11,0.35,0.03,0.04,0.01
0.56,0.49,0.62,0.58,4.70,4.64,5.02,3.55,5.74,5.41,3.58,0.51,0.53,0.32,0.11,0.35,0.05,0.05,0.01
0.55,0.47,0.60,0.59,5.00,8.38,5.33,4.48,3.53,4.94,4.41,0.14,0.42,0.12,0.12,0.43,0.01,0.04,0.00
0.54,0.46,0.59,0.57,5.00,5.83,4.41,5.52,4.29,5.11,3.95,0.37,0.60,0.28,0.13,0.41,0.03,0.06,0.01
0.53,0.45,0.58,0.56,4.44,5.97,4.31,3.86,4.84,4.43,3.82,0.17,0.38,0.19,0.11,0.40,0.02,0.04,0.01
0.57,0.49,0.63,0.60,3.57,4.87,3.43,3.57,3.24,3.39,2.91,0.21,0.38,0.29,0.09,0.28,0.02,0.04,0.01
0.54,0.45,0.59,0.57,3.79,3.82,3.81,3.88,4.38,3.23,3.09,0.20,0.41,0.24,0.10,0.32,0.02,0.04,0.01
0.53,0.45,0.57,0.56,4.25,3.67,3.94,4.93,4.34,3.83,3.44,0.34,0.40,0.21,0.11,0.36,0.03,0.04,0.01
0.54,0.46,0.59,0.57,4.55,4.39,4.39,3.78,5.04,5.69,3.56,0.41,0.53,0.27,0.12,0.36,0.04,0.05,0.01
0.53,0.45,0.58,0.57,3.62,3.56,4.33,3.34,3.64,3.19,3.14,0.08,0.36,0.12,0.09,0.32,0.01,0.04,0.01
0.54,0.47,0.59,0.57,3.61,4.59,3.78,2.76,4.14,3.75,2.92,0.26,0.38,0.18,0.09,0.29,0.02,0.04,0.01
0.55,0.47,0.61,0.58,4.05,5.39,3.57,3.81,3.44,4.77,3.23,0.27,0.44,0.37,0.10,0.33,0.02,0.04,0.01
0.56,0.47,0.61,0.59,4.42,5.60,3.41,5.01,4.14,4.48,3.30,0.39,0.66,0.26,0.11,0.33,0.03,0.06,0.01
0.57,0.49,0.63,0.60,3.91,4.20,3.65,4.28,3.37,3.86,3.18,0.31,0.41,0.35,0.10,0.30,0.03,0.04,0.01
